product_id,length_cm,width_cm,height_cm,weight_g,material_type,fragility_label,historical_material_volume_cm3
74e357bc-4f6a-4ab2-90ee-a4b7d8028a4a,36.03,25.72,7.56,293.31,apparel,0,7327.42
ff423d98-08ce-49cc-ac66-24534f796cdb,25.36,43.16,12.28,545.88,apparel,0,12650.55
967e60a1-61ce-4f0c-8b20-50287a0be426,17.46,13.02,11.39,625.88,electronics,1,2832.28
2344bec4-1488-4e44-9f03-e614bf07944c,32.93,25.9,5.77,180.48,apparel,0,3821.55
382538c9-abb2-470a-8cb4-d8de9dda08c7,38.14,34.77,2.09,44.49,apparel,0,2706.63
b0a8126b-598d-450a-84bd-528952b7639f,41.73,35.09,9.85,559.46,apparel,0,17550.55
03706209-e386-495a-9d23-ea5b45f771c3,16.01,9.91,8.68,847.24,glass,3,1458.12
dde83dd1-3dbe-4353-8f96-8dbfaef05eee,32.81,20.71,10.53,257.81,apparel,0,8042.76
1bf44aae-23cc-4f91-8558-e89a576e2c17,30.56,24.44,11.44,288.92,apparel,0,9125.14
021ae596-3e28-40ac-8a49-11fd32135873,13.28,8.0,11.85,707.52,glass,2,1437.32
5697cff4-df74-4609-a6f7-a59e737442d5,28.48,29.21,11.27,2420.16,electronics,2,9548.94
397d8d02-8450-49c6-96f5-c2d3f364a57b,11.52,17.76,28.46,3125.65,fragile_liquid,2,6435.88
d1d1ce6a-b9aa-4e2f-b0dc-8bacd55ba799,41.55,29.9,5.35,241.54,apparel,0,6437.77
2e4eb5a6-8346-47a3-91a3-2df3e8c41df9,31.0,27.6,16.08,559.58,apparel,0,13049.1
d88bb69b-cccd-43ca-84c9-cc4a6009ff03,29.07,20.39,13.48,1980.97,electronics,1,7396.89
cdf334a0-3d61-459f-941e-0b382d850487,39.97,32.97,15.05,808.29,apparel,0,18912.02
0aeb33d5-2a57-453f-b269-b35b405b99c2,11.12,7.12,8.16,392.2,glass,2,655.82
68d3d6da-170a-4123-8327-3f8e64f4585a,44.45,31.68,3.48,751.33,standard,0,4299.24
5af11bdb-265c-4fde-acec-f8e393fc5e32,16.12,11.2,14.59,1554.4,fragile_liquid,2,2951.08
d147c96c-cd01-445a-b161-de3b3f292436,22.21,10.57,19.81,661.13,standard,0,4360.55
7752b7c7-3c2c-4121-9095-fe2a379be233,26.64,29.52,12.74,1526.75,standard,1,9366.92
93373bc7-fbee-4bff-be2d-51fef318b7db,20.7,17.26,8.98,909.73,electronics,3,2814.75
c1656125-a2f4-4ae9-bdfc-66c44338f463,36.31,24.42,8.4,308.76,apparel,0,7460.5
be6f59e1-101c-4978-9ef4-4e0f6a22ed4a,31.04,23.53,14.33,1502.17,standard,1,9646.44
a6c79a0b-4b69-4d22-8b97-e2fa70fd7373,41.98,20.33,1.41,96.81,apparel,0,1061.76
58043d97-33d3-46a8-9f42-61299b0b99ee,42.32,9.06,9.77,464.95,standard,1,3958.12
fe54501e-2d26-4ed4-b4cb-3adc152615e2,32.94,19.18,10.53,1697.97,electronics,0,7831.97
78668c79-6b11-4114-95d3-aab56b7fe51f,52.71,10.6,16.68,1495.64,standard,3,9384.57
