product_id,length_cm,width_cm,height_cm,weight_g,material_type,fragility_label,historical_material_volume_cm3
6c999ca8-8512-48c0-8ce1-53a0fdd7856d,14.71,11.0,15.44,1439.21,fragile_liquid,3,2558.42
89a13ee1-7794-45c7-8c82-8dc5f96269f8,35.37,26.84,11.29,476.34,apparel,0,11321.33
c2b9946a-cab7-4e12-b687-fb3d09cb6db4,24.39,16.1,17.26,886.69,standard,0,7019.19
83607d3d-7cb8-400a-a611-0023ea7e6afc,16.6,8.6,22.94,1786.84,fragile_liquid,2,3085.62
043ca3cc-2f6e-4dab-a297-a750d2e565ea,28.35,17.81,7.5,140.25,apparel,0,3154.99
39d67db3-0838-472a-8411-f3e8616b5dd4,10.97,11.58,8.63,666.96,glass,3,1086.17
ae85ee9c-e96d-4b33-9305-65e3af218fbf,25.51,24.48,11.8,1733.37,electronics,2,6938.93
416cdfc5-c7db-45b1-b8e3-b53a67df0640,27.2,12.88,8.44,721.04,electronics,1,2999.86
92c27df1-350f-4248-9609-c6030a58d1c4,26.72,27.36,3.38,826.39,electronics,1,2267.04
f069967a-295b-410d-abf3-036b0720e9bd,21.1,29.36,11.07,1091.32,standard,2,8317.67
9e45f7da-cb84-4736-ad4e-4381467521f5,24.92,11.63,5.27,93.7,standard,0,1577.15
61e65dea-ec62-4583-95a2-228ee56ef5fd,16.08,12.94,9.09,1177.15,glass,2,1841.4
b110a2ad-7d9f-49a3-b549-a3d84212f251,54.0,23.69,15.61,3213.82,standard,0,19116.88
5484c818-2b80-4a20-9ed8-111bb7716aaa,14.41,8.54,8.76,706.93,glass,3,1182.6
7f31e7ce-fd21-479d-bfa2-179a52db5f26,19.72,26.71,11.63,1695.0,electronics,2,6149.67
e4a0cdf3-562e-4b14-b375-f51fe253ae7e,19.98,10.55,17.1,1976.86,fragile_liquid,3,3711.3
e950b0d7-2870-47a9-a3ca-a6f39ce63e31,49.21,40.41,8.75,696.21,apparel,0,17175.65
78e67378-6911-450d-bb2a-e8a75b7bac23,12.94,31.58,29.76,1804.4,standard,0,10960.54
569d1667-73e2-4c37-b541-195a6bc06c3b,21.79,6.82,15.39,1297.38,fragile_liquid,2,1955.98
6b192085-dc2e-447c-a042-039fde932806,5.99,23.32,13.89,72.46,apparel,0,1882.61
88c39f0e-3d14-4fef-8cce-cea0d3d8542b,10.8,15.29,5.6,169.15,electronics,3,841.59
638a2e56-afdc-40ac-a8cc-2e5b6b62c915,15.64,11.69,6.19,647.51,glass,2,1252.42
453a7091-8176-4a08-aa50-aea3ec914611,21.3,22.01,15.01,1814.65,electronics,2,7959.6
516572d7-c989-4f2c-9d2d-1f563d650231,22.92,23.13,6.74,840.55,electronics,2,3530.61
9a32f91e-5c6f-485f-aa19-c821380596a8,36.0,35.05,19.15,972.97,apparel,0,24057.77
d4782c43-43bf-4b39-b548-7c4dba07c5c0,19.77,22.49,11.5,1320.5,electronics,2,4395.55
08c54935-e0c2-4979-a231-20424e55d702,24.67,15.39,5.8,523.63,electronics,0,2239.08
d2462e2c-824a-4a1c-9a54-177f16a999d4,38.45,16.2,11.27,1008.21,standard,0,6751.67
